stock,fmp,area,recommendation_year,report_year,source_file,page,ofl,abc,units,table,page_url
Pollock,BSAI,AI,2022,2021,SSC Dec 2021.pdf,10,61264,50752,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pollock,BSAI,AI,2023,2021,SSC Dec 2021.pdf,10,61379,50825,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pollock,BSAI,Bogoslof,2022,2021,SSC Dec 2021.pdf,10,113479,85109,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pollock,BSAI,Bogoslof,2023,2021,SSC Dec 2021.pdf,10,113479,85109,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific cod,BSAI,AI,2022,2021,SSC Dec 2021.pdf,10,27400,20600,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific cod,BSAI,AI,2023,2021,SSC Dec 2021.pdf,10,27400,20600,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific cod,BSAI,BSAI/GOA,2022,2021,SSC Dec 2021.pdf,10,40432,34521,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific cod,BSAI,BSAI/GOA,2023,2021,SSC Dec 2021.pdf,10,42520,36318,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific cod,BSAI,BS,2022,2021,SSC Dec 2021.pdf,10,3396,3961,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific cod,BSAI,BS,2023,2021,SSC Dec 2021.pdf,10,5264,6529,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Sablefish,BSAI,AI,2022,2021,SSC Dec 2021.pdf,10,4717,1425,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Sablefish,BSAI,AI,2023,2021,SSC Dec 2021.pdf,10,6463,7786,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Yellowfin sole,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,7687,6572,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Yellowfin sole,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,6698,5724,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Greenland turbot,BSAI,BS,2022,2021,SSC Dec 2021.pdf,10,5125,1129,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Greenland turbot,BSAI,BS,2023,2021,SSC Dec 2021.pdf,10,5540,4825,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Greenland turbot,BSAI,AI,2022,2021,SSC Dec 2021.pdf,10,900,457,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Greenland turbot,BSAI,AI,2023,2021,SSC Dec 2021.pdf,10,1032,899,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Arrowtooth flounder,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,94445,80389,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Arrowtooth flounder,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,97944,83389,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Kamchatka flounder,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,10903,9214,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Kamchatka flounder,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,11115,9393,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Northern rock sole,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,214084,206896,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Northern rock sole,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,280621,271199,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Flathead sole,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,77967,64288,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Flathead sole,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,80034,65988,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Alaska plaice,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,39305,32697,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Alaska plaice,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,39685,32998,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Other flatfish,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,22919,17189,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Other flatfish,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,22919,17189,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Other flatfish,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,42605,35688,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Other flatfish,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,40977,34322,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Other flatfish,BSAI,BS,2022,2021,SSC Dec 2021.pdf,10,10782,8679,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Other flatfish,BSAI,BS,2023,2021,SSC Dec 2021.pdf,10,10352,9956,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific ocean perch,BSAI,EAI,2022,2021,SSC Dec 2021.pdf,10,8419,7442,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific ocean perch,BSAI,EAI,2023,2021,SSC Dec 2021.pdf,10,8083,7774,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific ocean perch,BSAI,CAI,2022,2021,SSC Dec 2021.pdf,10,6198,5885,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific ocean perch,BSAI,CAI,2023,2021,SSC Dec 2021.pdf,10,5950,5722,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific ocean perch,BSAI,WAI,2022,2021,SSC Dec 2021.pdf,10,10500,10107,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Pacific ocean perch,BSAI,WAI,2023,2021,SSC Dec 2021.pdf,10,11303,10870,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Northern rockfish,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,23420,19217,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Northern rockfish,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,22594,18538,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Northern rockfish,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,598,503,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Northern rockfish,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,615,517,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Blackspotted/Rougheye rockfish,BSAI,EBS/EAI,2022,2021,SSC Dec 2021.pdf,10,313,211,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Blackspotted/Rougheye rockfish,BSAI,EBS/EAI,2023,2021,SSC Dec 2021.pdf,10,326,334,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Blackspotted/Rougheye rockfish Rockfish,BSAI,CAI/WAI,2022,2021,SSC Dec 2021.pdf,10,169,302,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Blackspotted/Rougheye rockfish Rockfish,BSAI,CAI/WAI,2023,2021,SSC Dec 2021.pdf,10,177,183,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Shortraker rockfish,BSAI,BSAI,2022,2021,SSC Dec 2021.pdf,10,722,541,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
Shortraker rockfish,BSAI,BSAI,2023,2021,SSC Dec 2021.pdf,10,722,541,metric tons,"Table 1. SSC recommended OFL, ABC for Groundfish in the Bering Sea/Aleutian Islands (metric tons) for",pdfs/SSC%20Dec%202021.pdf#page=10
